16/07/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,NO,NO,Yes
22/08/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
22/08/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
15/04/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,NO,NO,Yes
28/06/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
02/07/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
12/11/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
12/03/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
05/07/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
15/08/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
10/08/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
16/11/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
04/03/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
10/07/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
10/07/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
16/04/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
29/07/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
03/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,NO,NO,Yes
04/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
11/10/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
26/04/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
28/08/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
20/06/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
04/09/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
03/04/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
10/04/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
11/04/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
02/01/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
16/04/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
17/04/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
11/01/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
07/05/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
27/08/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
03/06/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
24/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
25/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
28/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
30/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,Yes,NO,Yes
02/10/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
13/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
16/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
23/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
23/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
24/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
25/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
26/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
26/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
26/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
27/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
28/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
28/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
28/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
28/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
29/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
29/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
29/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
29/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
04/10/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
26/12/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,Yes,NO
20/08/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
21/08/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
21/08/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
21/08/2013 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
23/08/2013 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,Yes,NO,NO
18/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
18/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
18/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
19/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
19/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
30/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
30/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
31/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
31/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
31/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
31/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,Yes
31/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
01/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
06/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
19/09/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
21/09/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
21/09/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
11/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
11/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
12/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
12/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
12/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
13/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
13/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
14/06/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
07/09/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
08/09/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
12/09/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,Yes,NO
17/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
17/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
21/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
21/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
22/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
22/05/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
26/09/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
29/09/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
28/05/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
28/05/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
02/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
03/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
03/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,NO
03/04/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
26/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,Yes,NO,Yes
27/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
27/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
14/06/2013 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
21/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,Yes,NO
21/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,Yes,NO
23/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
23/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
